DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,Mean_BMI,Median_BMI,Unmet_Need_Rate,Under5_Mortality_Rate,Skilled_Birth_Attendant_Rate,Stunted_Rate,URBAN_RURA
IA201400333360,2014,333360,25.32793302,79.38023174,20.09,19.29,12.5,NaN,NaN,NaN,R
IA201400333361,2014,333361,25.84626797,83.53628533,19.77,19.36,13.33,NaN,NaN,NaN,R
IA201400333362,2014,333362,25.36031185,82.72641227,20.57,20.29,40,NaN,NaN,NaN,R
IA201400333363,2014,333363,28.52115297,80.23902789,21.25,20.4,27.27,NaN,NaN,NaN,R
IA201400333365,2014,333365,26.91056461,81.80105418,20.71,19.8,85.71,NaN,NaN,NaN,R
IA201400333369,2014,333369,27.29462078,83.2501749,20.25,18.8,25,NaN,NaN,NaN,R
IA201400333371,2014,333371,25.48944874,80.96233468,22.75,22.73,0,NaN,NaN,NaN,R
IA201400333372,2014,333372,23.89245846,83.1191052,19.84,19.34,33.33,NaN,NaN,NaN,R
IA201400333373,2014,333373,26.44174968,80.36163878,22.58,23.31,0,NaN,NaN,NaN,U
IA201400333375,2014,333375,27.6699229,78.78694252,20.81,19.69,36.36,NaN,NaN,NaN,R
IA201400333378,2014,333378,27.81623824,80.82112531,20.46,18.58,16.67,NaN,NaN,NaN,R
IA201400333379,2014,333379,28.34061268,79.28187149,20.79,20.9,16.67,NaN,NaN,NaN,R
IA201400333380,2014,333380,26.32956822,82.74338106,20.27,19.5,33.33,NaN,NaN,NaN,U
IA201400333383,2014,333383,27.32472483,82.39704557,21.33,20.3,100,NaN,NaN,NaN,R
IA201400333386,2014,333386,28.73418514,77.42975214,24.1,24.51,5.26,NaN,NaN,NaN,R
IA201400333387,2014,333387,28.87713163,79.26305145,21.65,20.72,7.69,NaN,NaN,NaN,U
IA201400333389,2014,333389,26.46100649,79.91349369,19.48,18.48,20,NaN,NaN,NaN,R
IA201400333393,2014,333393,24.75372955,78.49362951,20.43,19.44,8.33,NaN,NaN,NaN,R
IA201400333395,2014,333395,26.88486908,77.64912073,21.28,20.08,33.33,NaN,NaN,NaN,R
IA201400333396,2014,333396,26.85010126,80.94801152,22.78,22.36,14.29,NaN,NaN,NaN,U
IA201400333397,2014,333397,25.27939211,78.98645863,21,21.42,7.69,NaN,NaN,NaN,R
IA201400333399,2014,333399,28.39791592,79.46795505,23.05,21.78,5.56,NaN,NaN,NaN,U
IA201400333400,2014,333400,27.8767234,78.05624772,20.79,20.4,12.5,NaN,NaN,NaN,U
IA201400333402,2014,333402,24.69388334,83.12054919,21.21,21.25,83.33,NaN,NaN,NaN,R
IA201400333405,2014,333405,29.88818809,77.68885155,20.51,20.32,37.5,NaN,NaN,NaN,R
IA201400333406,2014,333406,28.31009836,80.06787846,21.87,21.24,0,NaN,NaN,NaN,R
IA201400333407,2014,333407,25.39029222,81.15004354,21.38,21.4,0,NaN,NaN,NaN,U
IA201400333408,2014,333408,28.06234534,81.35828601,19.39,19.37,75,NaN,NaN,NaN,R
IA201400333409,2014,333409,28.91520916,78.97190171,19.6,18.78,11.11,NaN,NaN,NaN,R
IA201400333414,2014,333414,25.39100868,82.58455465,21.36,21.26,66.67,NaN,NaN,NaN,U
IA201400333416,2014,333416,25.95514504,80.31696008,20.9,20.68,42.86,NaN,NaN,NaN,R
IA201400333420,2014,333420,27.45229192,83.51269831,20.99,18.95,35.71,NaN,NaN,NaN,R
IA201400333421,2014,333421,26.65135926,80.53587808,19.44,18.45,63.64,NaN,NaN,NaN,R
IA201400333422,2014,333422,25.39311379,82.37169844,21.07,20.54,11.76,NaN,NaN,NaN,R
IA201400333423,2014,333423,26.85240387,77.62667653,21.55,20.39,28.57,NaN,NaN,NaN,R
IA201400333424,2014,333424,25.18113129,83.00026028,20.66,18.85,46.15,NaN,NaN,NaN,R
IA201400333425,2014,333425,30.09055107,77.6696656,22.42,20.64,12.5,NaN,NaN,NaN,R
IA201400333426,2014,333426,27.8772239,78.09502305,22.43,21.43,0,NaN,NaN,NaN,U
IA201400333427,2014,333427,25.45737088,78.48537963,21.15,20,11.11,NaN,NaN,NaN,R
IA201400333428,2014,333428,26.41676418,82.64916687,19.19,18.74,64.29,NaN,NaN,NaN,R
IA201400333431,2014,333431,26.66962499,83.90184888,20.8,20.17,50,NaN,NaN,NaN,R
IA201400333432,2014,333432,24.53824458,78.76557153,20.91,20.1,6.25,NaN,NaN,NaN,R
IA201400333433,2014,333433,26.41735682,84.02762807,21,20.44,21.43,NaN,NaN,NaN,R
IA201400333434,2014,333434,27.48237893,80.85193969,20.59,20.84,0,NaN,NaN,NaN,R
IA201400333435,2014,333435,27.23401958,79.07408285,18.29,18.14,83.33,NaN,NaN,NaN,R
IA201400333436,2014,333436,26.93257014,78.33783946,19.72,19.34,15.38,NaN,NaN,NaN,R
IA201400333437,2014,333437,25.7558434,81.10556284,21.48,21.25,33.33,NaN,NaN,NaN,U
IA201400333439,2014,333439,28.23718148,79.05048812,18.35,18.29,30.77,NaN,NaN,NaN,R
IA201400333440,2014,333440,28.82209265,80.06811007,20.08,19.35,0,NaN,NaN,NaN,R
IA201400333441,2014,333441,25.61750234,81.23634822,20.66,20.02,50,NaN,NaN,NaN,R
IA201400333442,2014,333442,26.86873241,82.22735084,19.83,19.05,55.56,NaN,NaN,NaN,R
IA201400333451,2014,333451,25.09637103,82.71557997,21.96,21.42,38.46,NaN,NaN,NaN,R
IA201400333456,2014,333456,27.5853399,82.40269667,19.89,18.25,100,NaN,NaN,NaN,R
IA201400333458,2014,333458,25.52486005,81.52408726,20.23,17.99,38.46,NaN,NaN,NaN,R
IA201400333459,2014,333459,27.27936046,77.85088001,21.52,20.98,46.15,NaN,NaN,NaN,R
IA201400333462,2014,333462,28.82257009,78.13928612,20.85,19.68,29.41,NaN,NaN,NaN,R
IA201400333464,2014,333464,26.76758029,83.38303845,21.63,21.07,41.67,NaN,NaN,NaN,U
IA201400333465,2014,333465,27.62069095,80.2204112,21.09,20.01,57.14,NaN,NaN,NaN,U
IA201400333466,2014,333466,26.19699533,79.80778952,23.73,22.48,55.56,NaN,NaN,NaN,R
IA201400333468,2014,333468,25.61939022,78.85772321,23.31,22.41,20,NaN,NaN,NaN,R
IA201400333470,2014,333470,26.44147027,80.39647527,22,22.05,11.11,NaN,NaN,NaN,U
IA201400333471,2014,333471,26.061788,82.97355705,19.81,18.91,38.1,NaN,NaN,NaN,R
IA201400333472,2014,333472,27.68042834,79.51769694,19.9,19.04,27.27,NaN,NaN,NaN,R
IA201400333473,2014,333473,26.9549172,79.8813671,21.11,19.19,33.33,NaN,NaN,NaN,R
IA201400333476,2014,333476,26.93630237,82.5101138,22.21,22.94,66.67,NaN,NaN,NaN,U
IA201400333480,2014,333480,28.83495763,78.77669644,22.89,21.54,20,NaN,NaN,NaN,U
IA201400333482,2014,333482,26.45304522,81.65630941,19.09,19.1,27.27,NaN,NaN,NaN,R
IA201400333485,2014,333485,28.34529776,80.32458511,20.39,19.21,0,NaN,NaN,NaN,R
IA201400333486,2014,333486,25.91664147,82.11451204,22.18,22.23,47.06,NaN,NaN,NaN,R
IA201400333487,2014,333487,24.03890918,82.90573708,19.8,19.49,62.5,NaN,NaN,NaN,R
IA201400333488,2014,333488,27.41851345,82.8849489,21.58,21.47,63.64,NaN,NaN,NaN,R
IA201400333489,2014,333489,25.29020345,82.31848029,20.97,20.33,28.57,NaN,NaN,NaN,R
IA201400333490,2014,333490,28.70669761,78.14273615,21.36,20.68,7.14,NaN,NaN,NaN,R
IA201400333491,2014,333491,26.61318262,83.20226853,21.04,20.96,20,NaN,NaN,NaN,R
IA201400333493,2014,333493,26.84770916,82.63570152,19.5,18.97,41.67,NaN,NaN,NaN,R
IA201400333495,2014,333495,26.87643671,82.67489082,21.7,20.72,50,NaN,NaN,NaN,R
IA201400333498,2014,333498,25.43649234,83.00730244,21.88,21.03,46.67,NaN,NaN,NaN,R
IA201400333499,2014,333499,28.59380616,79.51452638,19.89,18.76,7.69,NaN,NaN,NaN,R
IA201400333500,2014,333500,27.65292899,77.87524398,19.75,19.19,38.1,NaN,NaN,NaN,R
IA201400333501,2014,333501,26.1303857,83.53301431,19.76,19.36,6.67,NaN,NaN,NaN,R
IA201400333503,2014,333503,25.28213386,82.65665514,20.63,19.98,20,NaN,NaN,NaN,U
IA201400333504,2014,333504,25.2953624,83.1265998,21.38,19.48,22.22,NaN,NaN,NaN,U
IA201400333507,2014,333507,28.05687481,78.84194774,20.08,19.01,25,NaN,NaN,NaN,R
IA201400333509,2014,333509,26.53088019,83.82895009,21.28,20.51,27.27,NaN,NaN,NaN,R
IA201400333512,2014,333512,25.07940398,83.08143553,22.08,21.32,25,NaN,NaN,NaN,R
IA201400333513,2014,333513,27.68408732,78.74497297,20.83,20,61.54,NaN,NaN,NaN,R
IA201400333514,2014,333514,26.77109745,83.95150041,21.28,20.17,16.67,NaN,NaN,NaN,R
IA201400333515,2014,333515,25.67162687,83.6305124,24.42,24.22,37.5,NaN,NaN,NaN,R
IA201400333516,2014,333516,27.15780266,82.86339632,20.69,19.43,33.33,NaN,NaN,NaN,R
IA201400333518,2014,333518,27.46868822,78.47727707,19.33,19.34,11.76,NaN,NaN,NaN,R
IA201400333519,2014,333519,29.03473383,77.68451572,24.47,23.07,15.79,NaN,NaN,NaN,U
IA201400333521,2014,333521,27.5747224,79.10161848,22.09,19.56,8.33,NaN,NaN,NaN,R
IA201400333524,2014,333524,27.79756302,78.54746859,21.54,21.61,11.76,NaN,NaN,NaN,R
IA201400333526,2014,333526,28.426551,77.94639211,19.61,18.82,41.67,NaN,NaN,NaN,R
IA201400333527,2014,333527,28.39446609,79.41438187,22.29,21.7,0,NaN,NaN,NaN,U
IA201400333528,2014,333528,28.96204825,77.73892677,24.49,23.86,15.38,NaN,NaN,NaN,U
IA201400333530,2014,333530,27.18939677,82.46418711,20.4,19.66,73.33,NaN,NaN,NaN,R
IA201400333531,2014,333531,25.86544042,79.0952614,21.17,19.98,15.38,NaN,NaN,NaN,R
IA201400333533,2014,333533,26.74905406,81.1911181,21.44,21.26,37.5,NaN,NaN,NaN,R
IA201400333535,2014,333535,27.14908385,79.88334899,20.73,20.24,80,NaN,NaN,NaN,R
IA201400333536,2014,333536,26.95945296,84.00886705,19.37,19.22,38.46,NaN,NaN,NaN,R
IA201400333537,2014,333537,26.00235038,82.8767512,23.53,21.81,25,NaN,NaN,NaN,R
IA201400333538,2014,333538,25.51330964,82.01731942,21.25,19.48,75,NaN,NaN,NaN,R
IA201400333539,2014,333539,26.29198986,79.36910819,22.19,22.36,50,NaN,NaN,NaN,R
IA201400333540,2014,333540,25.47034517,80.29685689,19.35,19.44,25,NaN,NaN,NaN,R
IA201400333541,2014,333541,25.6707206,78.87771291,20.72,19.93,0,NaN,NaN,NaN,R
IA201400333545,2014,333545,26.96113393,81.0551125,22.21,21.92,7.14,NaN,NaN,NaN,R
IA201400333546,2014,333546,28.54982605,77.56334749,23.12,21.68,0,NaN,NaN,NaN,R
IA201400333547,2014,333547,27.40802965,82.91905683,18.77,18.58,77.78,NaN,NaN,NaN,R
IA201400333551,2014,333551,26.70519139,80.88094088,21.9,21.92,27.27,NaN,NaN,NaN,R
IA201400333552,2014,333552,27.55866268,77.59000877,21.6,20.86,18.18,NaN,NaN,NaN,R
IA201400333553,2014,333553,27.58097728,81.52613823,18.75,18.4,100,NaN,NaN,NaN,R
IA201400333554,2014,333554,27.23326678,82.56273597,19.81,19.47,77.78,NaN,NaN,NaN,R
IA201400333556,2014,333556,27.36046742,79.25191371,21.1,19.85,18.18,NaN,NaN,NaN,R
IA201400333557,2014,333557,28.51817496,77.92107296,21.04,19.98,20,NaN,NaN,NaN,R
IA201400333558,2014,333558,28.87582262,79.2580813,22.5,21.98,14.29,NaN,NaN,NaN,U
IA201400333559,2014,333559,27.2220757,80.52769748,19.91,19.5,75,NaN,NaN,NaN,R
IA201400333560,2014,333560,26.26291065,82.0765141,22.43,22.77,50,NaN,NaN,NaN,U
IA201400333561,2014,333561,28.95983816,77.69411533,24.91,25.2,6.25,NaN,NaN,NaN,U
IA201400333562,2014,333562,26.71684773,83.44667548,23.75,23.46,21.43,NaN,NaN,NaN,R
IA201400333565,2014,333565,28.70645044,79.87424179,20.36,20.35,6.25,NaN,NaN,NaN,R
IA201400333566,2014,333566,28.29503343,77.56712882,21.06,20,14.29,NaN,NaN,NaN,R
IA201400333568,2014,333568,25.7496363,84.30030835,22.67,21.46,26.67,NaN,NaN,NaN,R
IA201400333569,2014,333569,26.00069314,81.3546628,21.43,21.48,11.11,NaN,NaN,NaN,R
IA201400333570,2014,333570,26.77560473,84.17290128,20.64,20.74,71.43,NaN,NaN,NaN,R
IA201400333571,2014,333571,26.54761515,81.31527295,20.93,21.89,28.57,NaN,NaN,NaN,R
IA201400333572,2014,333572,27.40210656,80.14622708,19.7,18.86,54.55,NaN,NaN,NaN,R
IA201400333573,2014,333573,26.94781113,79.13029683,21.18,19.77,17.65,NaN,NaN,NaN,R
IA201400333577,2014,333577,27.78761003,78.09278398,21.1,21.18,15.38,NaN,NaN,NaN,R
IA201400333578,2014,333578,26.24458357,82.69587436,22.47,21.03,46.15,NaN,NaN,NaN,R
IA201400333579,2014,333579,26.75003077,83.38289445,22.73,21.56,33.33,NaN,NaN,NaN,U
IA201400333580,2014,333580,26.32335913,80.0125219,21.38,21.28,30.77,NaN,NaN,NaN,R
IA201400333581,2014,333581,27.24146538,78.60695387,21.76,20.46,15.38,NaN,NaN,NaN,R
IA201400333582,2014,333582,29.14461513,77.62362405,26.38,25.63,10.53,NaN,NaN,NaN,U
IA201400333585,2014,333585,27.69940246,82.11392093,21.5,20.3,83.33,NaN,NaN,NaN,R
IA201400333586,2014,333586,27.18254787,80.06427157,19.98,19.44,33.33,NaN,NaN,NaN,R
IA201400333588,2014,333588,25.37193015,82.25963089,21.24,20.72,27.27,NaN,NaN,NaN,R
IA201400333589,2014,333589,28.49322083,77.41960755,23.16,22.4,0,NaN,NaN,NaN,U
IA201400333592,2014,333592,25.32565277,83.00760119,23.4,23.16,13.33,NaN,NaN,NaN,U
IA201400333593,2014,333593,24.75202318,78.25807957,20.79,21.51,11.11,NaN,NaN,NaN,R
IA201400333594,2014,333594,25.93444633,84.10805958,21.26,22.03,50,NaN,NaN,NaN,R
IA201400333597,2014,333597,27.04093906,81.10772438,20.39,18.64,36.36,NaN,NaN,NaN,R
IA201400333598,2014,333598,27.9102923,81.53101351,18.02,19.09,83.33,NaN,NaN,NaN,R
IA201400333600,2014,333600,25.7046813,81.44848777,21.26,21.18,35.71,NaN,NaN,NaN,R
IA201400333604,2014,333604,26.68077493,83.88898929,21.22,19.2,58.82,NaN,NaN,NaN,R
IA201400333606,2014,333606,26.70095597,79.13098663,20.87,20.84,16.67,NaN,NaN,NaN,R
IA201400333607,2014,333607,27.54011556,78.84842339,20.44,19.88,46.15,NaN,NaN,NaN,R
IA201400333610,2014,333610,27.42210945,83.42586034,22.07,20.77,18.18,NaN,NaN,NaN,U
IA201400333612,2014,333612,26.25716329,79.26119938,21.89,22.57,42.86,NaN,NaN,NaN,R
IA201400333615,2014,333615,26.46601209,81.18953639,19.85,19.13,71.43,NaN,NaN,NaN,R
IA201400333617,2014,333617,27.42420225,82.79641545,18.44,17.55,60,NaN,NaN,NaN,R
IA201400333618,2014,333618,25.25135976,83.35496068,23.43,23.68,21.43,NaN,NaN,NaN,U
IA201400333622,2014,333622,27.48974163,78.72088657,21.25,19.79,20,NaN,NaN,NaN,R
IA201400333623,2014,333623,27.93831417,81.48648256,20.74,19.92,100,NaN,NaN,NaN,R
IA201400333624,2014,333624,26.95117464,80.73565148,23.67,23.06,0,NaN,NaN,NaN,R
IA201400333626,2014,333626,26.79756779,83.3786981,25.87,25.6,0,NaN,NaN,NaN,U
IA201400333628,2014,333628,28.07502105,80.105938,22.79,21.64,0,NaN,NaN,NaN,U
IA201400333630,2014,333630,26.11911798,80.52939395,24.77,26.12,7.69,NaN,NaN,NaN,R
IA201400333631,2014,333631,27.50318822,77.68157969,23,22.12,18.75,NaN,NaN,NaN,U
IA201400333633,2014,333633,26.43050936,80.32843064,24.09,23.32,11.11,NaN,NaN,NaN,U
IA201400333634,2014,333634,25.64495324,83.23877762,20.21,19.6,57.14,NaN,NaN,NaN,R
IA201400333636,2014,333636,27.32489701,79.05341989,20.64,20.46,63.64,NaN,NaN,NaN,R
IA201400333638,2014,333638,26.5219718,82.3888806,21.07,20.61,6.25,NaN,NaN,NaN,R
IA201400333639,2014,333639,27.14930457,78.40799199,23.33,23.91,30,NaN,NaN,NaN,U
IA201400333641,2014,333641,25.25095356,79.12545284,22.64,21.36,6.67,NaN,NaN,NaN,U
IA201400333643,2014,333643,27.82521267,77.48868168,20.98,20.38,15.38,NaN,NaN,NaN,R
IA201400333644,2014,333644,27.33523148,78.26122635,19.67,19.89,12.5,NaN,NaN,NaN,R
IA201400333648,2014,333648,25.94982299,80.49969014,20.65,19.73,16.67,NaN,NaN,NaN,R
IA201400333650,2014,333650,26.11782504,83.83466201,22.28,20.87,64.29,NaN,NaN,NaN,U
IA201400333651,2014,333651,25.28869286,82.92062805,20.47,20.14,27.78,NaN,NaN,NaN,U
IA201400333653,2014,333653,26.70067547,83.7292415,21.21,20.81,40,NaN,NaN,NaN,R
IA201400333655,2014,333655,27.87425479,78.08644164,21.33,19.75,20,NaN,NaN,NaN,R
IA201400333656,2014,333656,28.97308971,79.0186463,20.13,19.4,18.75,NaN,NaN,NaN,R
IA201400333658,2014,333658,27.34192834,79.20610287,21.47,21.54,72.73,NaN,NaN,NaN,R
IA201400333659,2014,333659,26.53659913,83.02104449,20.84,20.67,33.33,NaN,NaN,NaN,R
IA201400333662,2014,333662,28.38506256,79.42479693,23.64,23.18,0,NaN,NaN,NaN,U
IA201400333663,2014,333663,28.78423783,77.49518594,26.02,26.16,10,NaN,NaN,NaN,U
IA201400333664,2014,333664,27.40808452,77.99819095,20.79,19.38,17.65,NaN,NaN,NaN,R
IA201400333665,2014,333665,25.49397308,79.72412831,19.75,18.42,11.11,NaN,NaN,NaN,R
IA201400333666,2014,333666,26.53235923,79.96602764,21.34,19.67,36.36,NaN,NaN,NaN,R
IA201400333669,2014,333669,29.72148918,77.4285978,24.11,24.16,15.79,NaN,NaN,NaN,U
IA201400333671,2014,333671,26.02405624,82.13212577,20.55,20.22,33.33,NaN,NaN,NaN,R
IA201400333679,2014,333679,26.45881693,81.59110079,19.67,18.49,60,NaN,NaN,NaN,R
IA201400333680,2014,333680,28.37873768,79.70426528,21.29,21.56,14.29,NaN,NaN,NaN,R
IA201400333681,2014,333681,27.59106209,78.41455302,20.89,20.91,14.29,NaN,NaN,NaN,R
IA201400333684,2014,333684,26.63425689,82.96243356,21.8,21.3,100,NaN,NaN,NaN,R
IA201400333689,2014,333689,27.99546591,78.78937239,20.19,19.73,25,NaN,NaN,NaN,R
IA201400333691,2014,333691,29.27642445,78.26621454,23.52,23.3,7.14,NaN,NaN,NaN,R
IA201400333693,2014,333693,28.15144097,77.66388089,21.08,19.68,6.25,NaN,NaN,NaN,R
IA201400333697,2014,333697,28.82483602,79.25684713,21.63,21.48,11.76,NaN,NaN,NaN,R
IA201400333698,2014,333698,27.69703067,79.0978465,20.59,20.83,29.41,NaN,NaN,NaN,R
IA201400333701,2014,333701,25.64078032,81.55131834,22.11,20.25,9.09,NaN,NaN,NaN,R
IA201400333702,2014,333702,27.45082585,81.72630547,20.72,20.68,100,NaN,NaN,NaN,R
IA201400333703,2014,333703,28.81931696,78.7925469,23,21.73,14.29,NaN,NaN,NaN,U
IA201400333705,2014,333705,25.71767275,80.51469994,19.46,20.24,9.09,NaN,NaN,NaN,R
IA201400333706,2014,333706,27.45780684,78.81607357,19.63,18.37,44.44,NaN,NaN,NaN,R
IA201400333707,2014,333707,28.04774115,79.35969788,20.02,19.87,16.67,NaN,NaN,NaN,R
IA201400333709,2014,333709,27.19598676,82.35797351,20.19,20.09,100,NaN,NaN,NaN,R
IA201400333711,2014,333711,27.74549067,78.93737215,22.4,21.19,10,NaN,NaN,NaN,U
IA201400333714,2014,333714,27.52003759,82.72935546,20.69,19.3,75,NaN,NaN,NaN,R
IA201400333716,2014,333716,28.78845176,77.82701105,21.43,21,29.41,NaN,NaN,NaN,R
IA201400333717,2014,333717,27.93998843,79.56011719,21.28,19.9,66.67,NaN,NaN,NaN,R
IA201400333720,2014,333720,26.09737522,80.88138754,22.32,22.34,40,NaN,NaN,NaN,R
IA201400333721,2014,333721,27.84967065,81.67733155,19.66,19.11,100,NaN,NaN,NaN,R
IA201400333722,2014,333722,25.564176,79.66445945,21.8,21.94,18.18,NaN,NaN,NaN,R
IA201400333724,2014,333724,25.50101382,81.57879269,21.64,21.34,9.09,NaN,NaN,NaN,R
IA201400333725,2014,333725,27.48748149,82.89931072,19.69,18.86,50,NaN,NaN,NaN,R
IA201400333726,2014,333726,25.98869905,83.67180179,22.27,21.35,12.5,NaN,NaN,NaN,R
IA201400333728,2014,333728,27.83110337,79.83312363,20.18,19.08,58.33,NaN,NaN,NaN,R
IA201400333730,2014,333730,26.59061627,82.76139477,22.18,20.74,83.33,NaN,NaN,NaN,R
IA201400333732,2014,333732,27.0195374,83.38939778,20.32,19.52,12.5,NaN,NaN,NaN,R
IA201400333733,2014,333733,28.61688405,78.07150086,23.5,21.7,44.44,NaN,NaN,NaN,U
IA201400333735,2014,333735,28.81739875,77.84013294,20.12,18.93,0,NaN,NaN,NaN,R
IA201400333736,2014,333736,26.02803489,80.36816907,19.59,18.86,44.44,NaN,NaN,NaN,R
IA201400333737,2014,333737,27.13564514,79.36036113,21.17,21.53,80,NaN,NaN,NaN,R
IA201400333738,2014,333738,24.43770247,78.47528274,20.8,20.37,20,NaN,NaN,NaN,R
IA201400333740,2014,333740,27.19312681,80.04111509,21.5,21.31,12.5,NaN,NaN,NaN,U
IA201400333742,2014,333742,27.48916903,79.17934488,23.25,22.13,12.5,NaN,NaN,NaN,U
IA201400333744,2014,333744,26.76523516,83.55462268,21.3,20.6,40,NaN,NaN,NaN,R
IA201400333745,2014,333745,27.20751386,77.97640142,25.63,26.18,21.43,NaN,NaN,NaN,U
IA201400333746,2014,333746,27.6082849,81.8884711,19.17,18.43,100,NaN,NaN,NaN,R
IA201400333747,2014,333747,25.37435936,82.54172673,22.3,21.14,29.17,NaN,NaN,NaN,R
IA201400333748,2014,333748,25.19520462,82.54262725,18.94,18.2,28.57,NaN,NaN,NaN,R
IA201400333750,2014,333750,25.59352132,80.09680508,20.12,18.78,50,NaN,NaN,NaN,R
IA201400333753,2014,333753,26.52731102,83.28968164,21.16,20.3,17.65,NaN,NaN,NaN,R
IA201400333754,2014,333754,27.16080238,78.41528365,20.28,19.84,10,NaN,NaN,NaN,U
IA201400333755,2014,333755,28.34012886,79.41109953,23.22,22.65,0,NaN,NaN,NaN,U
IA201400333759,2014,333759,30.12743351,77.83071039,19.65,19.13,12.5,NaN,NaN,NaN,R
IA201400333760,2014,333760,25.45295463,78.56938839,22.92,21.67,21.05,NaN,NaN,NaN,U
IA201400333761,2014,333761,27.52591024,81.31096849,19.94,19.73,60,NaN,NaN,NaN,R
IA201400333763,2014,333763,24.84195629,82.90557038,20.97,19.93,25,NaN,NaN,NaN,R
IA201400333764,2014,333764,27.32871157,78.2129161,22.14,21.61,14.29,NaN,NaN,NaN,U
IA201400333765,2014,333765,28.28616193,79.14852397,23.77,23.66,15.79,NaN,NaN,NaN,U
IA201400333766,2014,333766,27.5127116,77.9171994,20.9,20.66,15,NaN,NaN,NaN,R
IA201400333767,2014,333767,25.49813719,81.87239425,23.01,24.51,0,NaN,NaN,NaN,U
IA201400333770,2014,333770,25.2943558,80.87131644,19.3,18.02,8.33,NaN,NaN,NaN,R
IA201400333772,2014,333772,28.71080846,77.51980742,20.78,21.93,28.57,NaN,NaN,NaN,R
IA201400333773,2014,333773,27.22175739,82.44380568,20.59,20,100,NaN,NaN,NaN,R
IA201400333776,2014,333776,26.45622054,83.27777057,22.32,21.19,42.11,NaN,NaN,NaN,R
IA201400333779,2014,333779,28.69300613,79.51895348,22.37,22.53,57.14,NaN,NaN,NaN,U
IA201400333782,2014,333782,25.24303158,79.11718526,22.64,23.04,0,NaN,NaN,NaN,U
IA201400333783,2014,333783,27.27424458,78.27201356,20.96,20.46,60,NaN,NaN,NaN,R
IA201400333785,2014,333785,28.93857763,77.71113874,23.84,23.68,20,NaN,NaN,NaN,U
IA201400333786,2014,333786,25.15902434,80.4509488,19.24,18.13,0,NaN,NaN,NaN,R
IA201400333789,2014,333789,26.67170696,81.58425656,19.12,18.23,25,NaN,NaN,NaN,R
IA201400333790,2014,333790,27.10354359,82.39036247,19.69,19.25,100,NaN,NaN,NaN,R
IA201400333791,2014,333791,25.5340782,79.74822119,20.44,18.8,0,NaN,NaN,NaN,R
IA201400333792,2014,333792,28.60079836,77.38324183,22,21.16,13.33,NaN,NaN,NaN,U
IA201400333793,2014,333793,26.04265137,82.44951987,21.27,20.9,50,NaN,NaN,NaN,R
IA201400333794,2014,333794,27.39207108,79.57101482,24.15,23.5,0,NaN,NaN,NaN,U
IA201400333797,2014,333797,28.90276311,78.46696268,24.2,21.6,0,NaN,NaN,NaN,U
IA201400333798,2014,333798,30.11028392,77.66085355,21.09,19.89,30.77,NaN,NaN,NaN,R
IA201400333799,2014,333799,25.09210507,83.27557372,21.06,19.28,20,NaN,NaN,NaN,R
IA201400333803,2014,333803,26.85467426,80.86538862,22.1,22.33,44.44,NaN,NaN,NaN,U
IA201400333804,2014,333804,25.67479998,80.28695694,20.3,19.25,45.45,NaN,NaN,NaN,R
IA201400333807,2014,333807,28.74327237,77.9586512,19.89,19.14,9.09,NaN,NaN,NaN,R
IA201400333808,2014,333808,27.94734098,80.45149307,21.32,20.73,50,NaN,NaN,NaN,U
IA201400333809,2014,333809,27.90105676,78.08103391,23.23,21.94,0,NaN,NaN,NaN,U
IA201400333811,2014,333811,27.21157083,81.82638467,19.86,18.14,64.71,NaN,NaN,NaN,R
IA201400333812,2014,333812,28.98003193,77.70530241,24.07,21.54,7.69,NaN,NaN,NaN,U
IA201400333816,2014,333816,26.44000561,82.78338866,20.67,19.52,33.33,NaN,NaN,NaN,R
IA201400333818,2014,333818,26.66051064,81.49703009,18.65,18.4,50,NaN,NaN,NaN,R
IA201400333821,2014,333821,27.81310109,82.11415078,19.41,19.88,83.33,NaN,NaN,NaN,R
IA201400333826,2014,333826,28.63851204,79.80354848,22.02,22.15,22.22,NaN,NaN,NaN,U
IA201400333827,2014,333827,27.19473727,83.77452915,20.5,20.42,21.43,NaN,NaN,NaN,R
IA201400333829,2014,333829,25.17676504,81.68043467,21.64,20.42,45.45,NaN,NaN,NaN,R
IA201400333830,2014,333830,28.14298817,79.02626534,21.07,20.27,18.18,NaN,NaN,NaN,R
IA201400333831,2014,333831,27.04252145,80.66377355,22.14,22.81,20,NaN,NaN,NaN,R
IA201400333834,2014,333834,25.48140604,81.53441348,21.25,19.41,44.44,NaN,NaN,NaN,R
IA201400333835,2014,333835,28.38795301,79.40215991,22.5,21.09,6.25,NaN,NaN,NaN,U
IA201400333837,2014,333837,27.73335404,78.9270677,20.96,19.76,20,NaN,NaN,NaN,U
IA201400333838,2014,333838,26.09829202,80.37953402,19.49,18.19,11.11,NaN,NaN,NaN,U
IA201400333839,2014,333839,25.25376661,79.06821442,23.43,22.28,16.67,NaN,NaN,NaN,U
IA201400333841,2014,333841,25.60881564,79.55209305,20.57,20.75,50,NaN,NaN,NaN,U
IA201400333842,2014,333842,25.43661222,81.93849075,21.02,20.23,25,NaN,NaN,NaN,R
IA201400333843,2014,333843,27.93651515,78.67783132,21.48,20.98,12.5,NaN,NaN,NaN,R
